state,2009,2010,2011,2012,2013,2014,2015,2016,2017
Alabama,32685,33696,34717,35497,35792,36903,38238,38918,39976
Alaska,46834,48614,51438,52667,51463,54621,56507,55674,56042
Arizona,33746,33565,34930,36096,36605,38127,39731,40546,41633
Arkansas,31372,31801,33790,36167,36007,38007,39060,39722,40791
California,42224,43323,45854,48359,48555,51317,54664,56308,58272
Colorado,39838,39930,42972,45120,46869,50021,51956,52097,53504
Connecticut,60428,62121,63813,64961,64016,66405,68155,69094,70121
Delaware,41317,41093,43714,43577,43850,45116,47069,47837,49125
District of Columbia,59998,61875,65790,66564,66443,69851,73834,75756,76986
Florida,37065,38631,40493,41006,40791,43045,45388,45855,46858
Georgia,34361,34646,36672,36876,37183,39142,41020,42146,43270
Hawaii,41473,41727,42858,44398,44590,46640,48823,50358,51939
Idaho,31436,31728,33316,34722,35761,37258,38931,39543,40507
Illinois,40994,41699,43716,45627,46607,48809,50745,51679,52808
Indiana,34084,35083,37265,38829,39158,40482,41862,43091,44165
Iowa,37365,37952,40878,42607,43217,44351,45800,46056,45996
Kansas,39204,39212,42532,44810,45865,46565,47009,47221,47603
Kentucky,32304,33031,34490,35586,35596,37021,38504,38934,39393
Louisiana,36284,37227,38156,40026,40100,42004,42835,42257,43491
Maine,36952,37533,38942,39814,39703,41209,42875,44094,45072
Maryland,48845,49885,52093,53323,52653,54036,56197,57972,59524
Massachusetts,51412,53058,55230,57178,57145,59226,62755,64122,65890
Michigan,33966,35206,37400,38702,39213,40835,43072,44231,45255
Minnesota,40739,42122,44639,47236,47274,49248,51139,51990,53043
Mississippi,29801,30568,31764,32942,33358,34257,34804,35524,36346
Missouri,36425,36735,38119,39865,39864,41141,42406,42939,43661
Montana,34318,35462,37817,39887,39602,40862,42637,43107,43907
Nebraska,39226,40520,44882,46087,45905,48425,49572,50016,50395
Nevada,36280,36826,37989,39213,38938,40737,43128,43579,44626
New Hampshire,45742,47154,49562,51844,51611,52400,54543,55945,57574
New Jersey,50567,51330,53562,55236,55425,57518,60069,61240,62554
New Mexico,32523,33111,34737,35431,34753,36767,37938,38393,39023
New York,46916,48145,50770,53689,54388,56111,58324,59289,60991
North Carolina,35840,35275,36429,38564,37782,39531,41351,42203,43303
North Dakota,40134,43661,48635,56245,55742,58202,55643,54801,54643
Ohio,35610,36360,38821,40282,40694,42200,43803,44561,45615
Oklahoma,34920,35912,38470,41117,42713,45215,43999,42717,43449
Oregon,35409,35701,37413,39161,39582,41866,44424,45482,46361
Pennsylvania,40696,42005,44026,45884,46132,47978,49815,50730,52096
Rhode Island,40936,42750,44329,46166,46326,47831,49744,50373,51503
South Carolina,31635,32161,33803,35261,35307,37042,38802,39527,40421
South Dakota,39524,41068,44686,45142,44758,46089,47882,48051,48281
Tennessee,34635,35657,37465,38800,38838,40156,42156,43338,44266
Texas,36695,37896,40828,43166,43390,45861,46787,46204,46942
Utah,31619,31684,33714,35564,36092,37726,39775,41018,42043
Vermont,40221,40925,43468,44949,45672,47203,49002,50084,51114
Virginia,44232,45343,47563,49322,48496,50160,52189,52941,54244
Washington,41844,42206,44224,47368,47846,50942,53119,54632,56283
West Virginia,31412,32080,34001,34831,34663,35747,36566,36673,37924
Wisconsin,38012,38596,40777,42575,42774,44351,46025,46809,47850
Wyoming,43549,45461,49493,52783,52749,56379,56322,55172,56724
